Sw	Meaning	Sys Cod	PIE ref. (*omitted)	Source	Assessmt.	Rus	Lit	oIs	Bkm	oIr	rIr	Itn	Lat	Alb	aGr	rGr	Arm	Hit	ToB	Ave	San	Hnd
9	all (of a no.)	1	wiƙ-wo ‘all’ <(h1)wiƙ/wo	P1175		все/ё	vìsa-			-	-									višpa-	viśva	
9	all (of a no.)	2	s)ol-y,wo- no, mostly ‘whole’	P24,979	-distr.: ‘all’ only Grm!)			allir	alle	uile	uile		(ultra)		(ὅλος)	όλος			(salu)	(haurva)	(sárva)	
9	all (of a no.)	3	teh₁- ‘schwellen’	P1080	Orphan							tutti	(totus)									
9	all (of a no.)	4	op-1 {n} < h₃ep-	P780	Orphan								omnēs									(sab)
9	all (of a no.)	5	sh₂ei- ‘bind together’ (?)	L544	Orphan									gjithë								
9	all (of a no.)	6	ƙew-a- ‘swollen’  >pehₐ-nt	P592-3 (auch Adams)	meaning shift; ToB debated										(ἅ)πας,  πάν-τες				po(ñc)			
9	all (of a no.)	7	bʰel-3, bʰol-	not (P120-)	Orphan												bolor					
9	all (of a no.)	8	no convincing, L < ?!	All sources	loan(?)													[ḫūmant]				
9	all (of a no.)	9	unknown; L < ?	NOT < sarva!	Orphan																	sārā
83	ash(es)	10	ā̆s(d/g(h))- < h₂é(h₁,₂)s-+g(h) ‘glow, ashes’	P68,9	?Name			aska	aske								(ačiun?)	ḫāss-			ā́sa	
83	ash(es)	11	ken-2.-nis ‘ashes’ < kh₂,₃en- ‘scrape’	P559-2. (~P917 ?)								ceneri	cinis		(κόνις ‘dust, ashes’)							
83	ash(es)	12	ĝel- ‘glänzen, helle Farben, glühen’	P430 ?	Orphan	золá													-			
83	ash(es)	13	polh₁-	P802;St899;ewS;Bi	Orphan	(пепел)	pelenaĩ															
83	ash(es)	14	lou(H)- < lewh2,3- ‘waschen’	P692 (687 ?)	Branch orphans					lúaith	lúaith											
83	ash(es)	15	s)k̑ih₁-n ‘shine’?	P917 ?	PAlb. sk̑ino-									hi(ri)								
83	ash(es)	16	dʰegʷʰ-	L133,P240-1	Orphan										τέφρα							
83	ash(es)	17	stag ‘t drop’ (nose)?	L592; 1010-1 ?	Orphan											στάχτη						
83	ash(es)	18	s)meukh- ‘smoke’	w Staro P971; Mrt. no entry; ewy nEty	Orphan												moxir					
83	ash(es)	19a	dʰou(hx)-ro; or L<Turk. tōŕ dust?	Adams96:311; or Bla11:App.1?	Orphan														AB taur  (L?)			
83	ash(es)	19b	āter- ‘Feuer, schwarz’	(P69)	Orphan															ātriiəm		
83	ash(es)	19c	रकषा (rakṣā) ‘damage’	MhII-423	Orphan																(bhásman)	rākh
27	bark (of tree)	20	s)ker-(t) ‘cut off, rind’	WP938-4.	?amb. (-Lu)	kora						corteccia	cortex									
27	bark	21	ĝ(e)I ‘burst’	Frae ~ (P355)			žievė															
27	bark	22	bʰer-ĝh- ‘bergen’ >Gefäße?	P145	Gmc barkuz			borkr	bark													
27	bark	23	L<Britannic	Lucht	Branch orphans					[rúsc]	[rúsc]											
27	bark	24	léubʰo-< leu-bʰ.eh₂-2	P681-.2 >P690;M/A	Orphan	(SHr,R lub)	(lúoba?)							lëvozhgë								
27	bark	25	bhleu-	P158	Branch orphans										φλοιός	φλουδα						
27	bark	26	L <Syriac	ewy	Orphan												[keġev]					
27	bark	27	Gap	All sources														G				
27	bark	28	temh₁-, h₁ṇtm(h₁)- ‘cut in’ > enm-+e-+tre	Adams, not in (L625;P1062)	hapax l														B enmetre			
27	bark	29	Gap	All sources																G		
27	bark	29a	uolko- ‘bark’ only Vedic	P1139f	orphan																valká	
27	bark	29b	s)kel- ‘schneiden’	P923-1	-							(scorza)									(challi )	chāl
49	belly (abdomen, not stomach)	30	udero-, udára	P1104	#NAME?							?ventre	venter							udar-	udára-	
49	belly	31	bhreu-s1	P171; La	W only	Брюшко				brú												
49	belly	32	pl̥H-u ‘full’ <pel-1	(P799)	Orphan		pilvas															
49	belly	33	gʷet- ‘Rundung’	P48, Bla	Orphan			kviðr											Bkātso			
49	belly	34	bʰ(e)w-g	P100	W only				buk			(? pancia )	< (pantex)									
49	belly	35	bholĝ-o ‘bellows’	P125	Orphan			(belgr)			bolg											
49	belly	36	bharekw ‘vollgestopft’	Ho(P110)	Orphan									barku								
49	belly	37	gres/gras ‘ver-schlingen’	P404,L192	Orphan										γαστήρ							
49	belly	38	ƙew ‘hohl’	P593	Orphan											κοιλιά						
49	belly	39a	L < Georgian?	Mrt-	Orphan												[p’or]					
49	belly	39b	L < ? unattested	All sources	Orphan													[sarḫuwant]				
49	belly	39c	(s)keu-2 ‘bedecken ?	Lub:(P953)	Orphan																(kukṣí)	kukṣi
49	Belly	39d	gwey-to- < gʷih₃wo-  ‘Leben’	(P467-9)	polysemous	(живот)																
49	belly	39e	ab-do-men (Lat)	irrelevant	in medicine	(aбдомен)						(addome)	(abdomen)									
13	big (large, cf many, long)	40	meĝ-(e)h₂- <m̥g̑h₂-éh₂-m	P708	#NAME?	-				mor	mór		magnus	madhe	μέγας	μεγάλος	meç		(māk(a)	maz-a	mah-ā́nt	
13	big	41	bel- ‘stark’	P96-2	orphan	большой																
13	big	42	no PIE ety L <?	Frae93: not P,;	orphan		[dìdelis]															
13	big	43	steh₂-E12	P1008	PGmc stōra-		(stóras)	stórr	stor													
13	big	44	gwrendʰ- ‘swollen’?	P485								grande										
13	big	45	L <Akkšallannu? Or, solHi; or both !!	(P979 ?)	orphan								(solidus, salvus)		(ὅλος?)			[salli] (?)				
13	big	46	uru-(e)H-tyo-	M/A; Bla	orphan														B orotstse			
13	big	47	wer-2+dh	Mh: P1167	-																(vaḍra-)	baṛā
20	bird (cf “fly”)	50	awei- <h₂(é)wi- ‘bird’	P86	#NAME?							uccello	avis	(vido ‘Taube’)	(αἰετός ‘Adler’)		(hav)	suwai- (hapax)?		vaii, vīš	véṣ, váy, ví-	
20	bird	51	ptēr- ‘wing, feather’ <peth₂-r/n -2 ‘t fly’	L479,P825	#NAME?					Lu en	éan				(πέτομαιι)		ewS tʽṙčʽun					
20	bird	52	peh3u- ‚klein‘	P843	Branch orphans	птица	paũkštis															
20	bird	53	plew-k ‘t fly’ dissimiltd	(?L488), P837	Branch orphans			fugl ?	fugl ?													
20	bird	54	ĝʰāgʷʰ-	P409	orphan									zogu								
20	bird	55	h₁,₃er-en ‘(gr) Vogel, Adler’	P325,6	orphan										ὄρνις							
20	bird	56	L <Lat pullus?	ewy no So	orphan										(πώλος)	[πουλί]						
20	bird	57	No cogn known; L < ?	Klo 987	hapax													wattei				
20	bird	58	salamo ‘flying’; L < ?	Adams	orphan														[ṣalamo luwo]			
20	bird	59	peg- ‘Achsel, wing(ed)’	P792	#NAME?																(pakṣin)	pakṣī
20	bird	59a	Not applicable	not used	meaning	(орьлъ ‘Adler’)	(erelis ‘Adler)			(irar ‘eagle’)							(oror)	(ḫāras)				
56	bite (v) [cf “eat”]	60	de(n)ƙ- ‘bite, tear, press’	L117,P201	only E										δάκνω	δαγκώνω			tsāk-B ?	(jAv:dạs)	daṁs	
56	bite (v)	61	kenH-d	P560(559); L-	Branch orphans	кусать	(į)kąsti															
56	bite (v)	62	bheid- ‘spalten, beißen’	P116	Branch orphans			bita	bite													
56	bite (v)	63	kneh₁ (nur i ZusSetzgn)	P559	orphan					(cnaïd?)												
56	bite (v)	64	(s)ker(c)- ‘cut? or Oir benaid +ghredh ?	P938 ? P456	orphan						báin gréim											
56	bite (v)	65	h₂merd-	L280	Branch orphans							mordere	mordēre									
56	bite (v)	66	L< Lat captiare	Holm 2011	orphan									[kafshoj]L								
56	bite (v)	67	No ety given; L < ?	(Mrt -;ews -)	orphan												[kçel]					
56	bite (v)	68	u̯eh2g/ĝ (?)	L664?,P1110	orphan													wāk- I	([kāpar])			
56	bite (v)	69	(s)ker-t	P941	orphan																(khād >)	kat
91	black(col) [amb]	70	kr̥s-ṇo- ‘black’	P583	#ERROR!	чёрный	(oPr:kirsnan)														kr̥ṣṇá	
91	black	71	no resultL <?	Frae197, fehlt P	orphan		[júodas]															
91	black	72	s(w)er-3, dhem	P1052	orphan			svartr	svart (sort)													
91	black	73	dheu-bh	P264-1	orphan					dub	dubh											
91	black(col)	74	nókʷts-?? (Watkins)	not (P762)	orphan							nero	(niger)					-				
91	black	75	h₂t(e)r- ‘Feuer’	P69	orphan								āter							(ātar-)		
91	black	76	gu̯hHi-d	Pk488;Ho	orphan									zi								
91	black(col)	77	mel-	P720	orphan		(Lv:melns)								μέλᾱς			-			(meliná)	
91	black	78	mau-ro- ‘faded, dark’	P701	orphan											μαύρος						
91	black(col)	79a	ƙei-ro-2 Pok: L <Ira	P540-1	Loan					(ciar)							[se(a)v]	-		(syāva )	śyāmá	
91	black	79b	dhngw-(e)i- ‘dunkel (!)’	P247f	orphan													t/dankui I				
91	black	78c	ergʷ-ont <h1ṛgʷ ‘dark’	(P857)	orphan														Berkent			
91	black	79c	ƙei-2 >ƙye-mo ‚black‘	P540-1	primary															sāmō/a	śyāmá	
91	black	79d	kāl- ‘spots,white’	P547?	orphan																	[kālā]
30	blood n	80	es-r̥-o <h₁ésh₂-ro	P343	#NAME?		(Lv: asins)						(aser)		(ἔαρ)		aryun	ēsḫar-	B ysär		ásṛj	-
30	blood	81	s(u̯)ekʷo-s	P1044; waits for deVaan 2016-06	Lat in unsourced enwy to above							sangue  (?)	sanguis (?)	gjak								-
30	blood	82	kreu-< krewh₂ (ewS)	P621 kreu-1	Branch orphans	кро-вь	krauja-s															
30	blood	83	bhleu- ‘flow’? uncertain	(P158f	Gmc			blóð	blod													
30	blood	84	wel-	P1144-8A	Branch orphans					fuil	fuil											
30	blood	85	sei-/soi- ‘tröpfeln, ) +m	(P889)	Branch orphans										αἷμα	αίμα						
30	blood	86	wes-3 ‘feucht, nass’	P1172 “vermutl” Skjaervo kA	orphan															vohu-tāt/nī		[xūn]
30	blood	87	reƙhÞ- ‘schädigen’ >auf’s Blut ?	(P864,875)	orphan																	rakt
31	bone (oppos. to flesh)	90	ost-i- <h₃éstH-	P783	#NAME?					(asna)	(asil)	osso	os(su)	(asht-)	ὀστέον	οστό (hwik)	(v)oskor	ḫastāi	AB āy	ast-	ásthi	(asthi)
31	bone	91	kost-	P616	orphan	кость							(costa)		(κόκκαλος)?	κόκκαλα						
31	bone	92	kost-; here L <Sla	P616	orphan									[kockë]								
31	bone	93	kaw(ǝ)l-	P537; starling	orphan		káula-s															
31	bone	94	bhei(H)- ‘schlagen/hit’	P117	Branch orphans			bein	[ben]													
31	bone	95	knh2-mi ‘t gnaw off’ [?]	P559f	Branch orphans					cnáim	cnámh											
31	bone	96	h₂óst(h₁)??	No serious ety. SV unreliable	orphan																	haḍḍī
51	breasts (fem, Ri. “woman’s”)	100	ps(t)ē̆n-o ‘tit(s)’	P990	meaning?		(aPr: spenis)	(speni)		(sine)		( sene)	(sinus)		(στῆθος)		(seldom: st(h)in)		päś-śäṃA/caneB	fštāna	stána	stan
51	breasts (fem)	101	gʷrandh-/-e (gʷʰrendʰ-) ‘schwellen’	P485	orphan	грудь																
51	breasts (fem)	102	krū̆t- ‘convex, belly’	P624	orphan		krūtis															
51	breasts (fem)	103	bhrew-d,s- ‘schwellen’	P169,170	Branch orphans	(brjúcho)	-	brjóst	[bryst]	( bruinne)									(St:B pratsāko:?)		(bṙst)	
51	breasts (fem)	104	k̑eHk-4 (n Pedersen)	P522	Branch orphans					cích	cíoch											
51	breasts (fem)	105	childs word <mother	-	Branch orphans							mammella	mammae									
51	breasts (fem)	106	L<Cel (?)	Holm	orphan									[gji]L								
51	breasts (fem)	107	mad ‘fat, ‘glossy’	P694	Branch orphans										μαστός	μαστός						
51	breasts (fem)	108	kor- ‘hängen’? uncertain	Mrt (P573)	orphan												kurçk’				P( uras)	(chātī)
51	breasts (fem)	109a	dheh₁-ilo ‘saugen, säugen’	P241f  Klo875	(or < above??)												došikner	(tētan )				
51	breasts (fem)	109b	peg- ‘breast(s)’	P792	Branch orphans					([ucht])	([ucht])	(pectus)	(petto)					-				
84	burn (i. not maintainable)	110	dhegwh-, ‘verbrennen’[!]	L133,P240	#ERROR!	žeč{tr}	dèg-ù/ti  (deg-inti)						(foveo)	djeg					(tsäk {vt})	dažaiti	dáh-ati	
84	burn	111	wer(H)-12 ‘(ver)brennen)’	P1166-12 (≠L689!)	Alternate with 4?	(vьritь)	(vérda)										vaṙ-im/ vel	u(w)ar-nu				
84	burn	112	gwher-t,nu ( ‘hot‘)	P493	Alternate with 3?	гореть	(gariù ?)						(fornus)				(ǰer)					
84	burn	113	1gwher-t,nu ( ‘hot‘) 2bʰrewh₁ (?)	1 P493; or 2 Kroo	Alternate with 3?			brenna	brenne													
84	burn	114	le-h₂eidh-12 ‘entzünden’	L259,P652/11-12	orphan					las-aid?			-		αἵθομαι {t/i}				(sälp)		(indhé)	
84	burn	115	deh₂w-	L104+,P179f	Var of dhegwh? cf warm, hot!					(dóïd)	dói-gh				(δαίω, δέδηε ) {t/i}					(θaw-/θū)	dunóti	
84	burn	116	as-/azd- ‘brennen, glühen’	P68	Branch orphans					loiscid?		ardere	ārdeō									
84	burn	117	keh₂w- ‘anzünden, verbrennen’	L345-1;P595	Branch orphans										καίω	καίγομαι						
84	burn	118	āter-	P69	not primary												ayr-vel					
84	burn	119a	bʰeleg- ‘leuchten’	L86,P124-5	orphan														pälk-etär	(saok)		
84	burn	119b	h₂eidh-12 ‘entzünden’	L259,P11-12	orphan								-		αἵθομαι {t/i}				(sälp)		(indhé)	jalnā
84	burn	119c	h₁ews- ‘t burn’	L245,P347f	orphan							(bruciare, tr)	St: ūrō {t?}	(ethe)	(εὕω)					(by-ūvā’re)	óṣ(ati)	
80	cloud (not smoke, fume)	120	nébh-(eleh₂/es)-, (h₁)mb(h)-(ro-)	P315f-2	#ERROR!	(nebo-)	debesìs			nél	(neal)		(nebula)		νέφος	(σύν)νεφο(ς)	amp	(nepis-)		CG(aβrəm)	(abhrá)	
80	cloud	121	mighlā- mainly ‘fog’	P712											(ὀμίχλη)					maēɣa	mēghá	
80	cloud	123	el-6 ‘t drift’ +ek ?	proposal: P306	orphan	о́блакo																
80	cloud	124	s)k(')ew- ‘bedecken’	P951	Gmc skeuja-			ský	ský													
80	cloud	125	s)kep-?- ‘bedecken’	(P930)	orphan						scamall											
80	cloud	126	sneudh-2 ‘fog’	P978-2	Branch orphans							nuvola	nūbēs		(νυθόν)			-		(snaođa)	-	
80	cloud	126	h3rei̯H-‘wirbeln, fließen’ +n	Ho (<L305)	orphan									re-ja								
80	cloud	127	( albho ‘weiß’?)	P30 ?	(cf lat albus)													alpa ?				
80	cloud	128	dherg- > dʰṛg-r-u ‘Trübes’	P252;Adams	orphan														B tarkär			
80	cloud	129	werdʰ- ‘emporsteigen’	SV (P1167)	orphan																	bādal
94	cold	130	ƙel-1 ‘cutting warm or cold’	P551-1	W+E		šáltas	(hēla)									(սառ- ‚eiskalt‘)			sarǝta	śíśira	
94	cold	131	g/ĝel(ə)-3, w metathesis :algh- <h₂elgh-	P365-3 P32	#NAME?	холодный		kaldr	kald				(gelidus)		(γελανδρόν)							
94	cold	132	kreu-¹ ‚stockendes‘ ƙeh1,3(u)ero ‘northern wind’	P621-2; cf.P597	E only											κρύος	c’urt		B krośce			
94	cold	133	ou-(g)?- <h₂uh₁-dhr-	P783	#NAME?		(Lv: aũksts)			úar	fuar						(oic)			(aota)		
94	cold	134	srīg- <s)reh₁ig- ‘Kälte’	1004	Branch orphans							freddo	frigidus									
94	cold	135	tep ‘warm’	Ho: L629-1	Branch orphans									ftohtë								
94	cold	136	bhes ‘to blow’	Beekes;P146?	orphan										ψυχρός							
94	cold	137	ei-s-2  <h₁ei-s- ‘ice’	P503,301-2	orphan	(īnja)	(ižà)?											ek-una-		(isu)		
94	cold	138	PDra taṇ- ‘cold, grace’	Ho/DraSt	orphan												(paġ)					[ṭhaṅḍā]
66	come vi [cf walk, go]	140	gwe-m- ‘t come, go’	L209,P463	#NAME?			koma	komme	-	-	venire	veniō		(LIV:βάσκε!)		gal =ek-n		B käm-	(ā) ǰam-	(â)gam	ā- (?)
66	come	141	sed-	L514, P887	orphan	приходи́ть																
66	come	142	h₁ei̯- ‘gehen’	L232, P293-6	orphan	(pri-jti)	#NAME?											ú(w)e				
66	come	143	h₂neƙ- ‘reach, go away’	L232,P293,316	Branch orphans		(oPr: perēi-)			do-icc	#NAME?											
66	come	144	L<Lat venīre	Holm Alb	orphan									[vij] L								
66	come	145	h₁er-(ĝh)- ‘komm-, gehen’	L238,P326f	Branch orphans										ἔρχομαι	έρχομαι		(āri-)				
66	come	146	h₂neƙ- ‘erreichen’	L282-2,P316-8	orphan															Ri: ā ǰasaiti, ā aēti		ānā
61	die vi	150	mer- ‘t die, disappear’	L439,P735	#ERROR!	у-мирать	mir-ti					morire	mori-		(ἔμορτεν)		meṙnel	(mer-t)?[L]	-/-	miriiāite	ṃr/mar-	mar
61	die	151	dhew- ‘dwindle die’	P260	orphan			deya	[dø]													
61	die	152	gwā- ‘come,go’? gwel- <gʷelh₁- ‘Tod, ’	L203,P470,1 (P463)	orphan					at-baill												
61	die	153	gwadh-? (above +-d)!	P465	orphan					(bā́id)	faigh bás											
61	die	154	dhgu̯hei̯- ‘hinschwinden, sterben‘	L150	orphan									vdes	(ἔφθι-)							
61	die	155	dhenh1- ‘run off’	L144,P249	Branch orphans										ἀποθνῄσκω	πεθαίνω						
61	die	156	?h₁eƙ/ĝH	L232/4/5?	orphan													āk(k)-				
61	die	157	stre-wg- ‘erschöpft’	Ad (L605,P1029)	orphan														B sruk-			
61	die	158	welh₃- ‘schlagen’, or ‘perish’?	L679,P1144-5	-meaning										(άλϖναιἡ)			(walahzi)?	( A wäl-)			
21	dog n	160	ƙwō-(n)	P632,MBr	#NAME?		šuõ	hundr	hund	cū	-	cane	canis		κύων		šun	UR (kuwan-?)	ku	spā	śvā́-	
21	dog	161	L <Scyth. <Trk köpek	(ewy)	orphan	[собака]																
21	dog	162	L <Fr. mâtin <Lat. mansuetus (medieval Wanderwort)	Lu, fr.wiktionary	orphan						[madra]											
21	dog	163	L <Lat canis	Holm	orphan									>[qen]L								
21	dog	164	s)keu- > pej ‘abgezogene Tierhaut’	P951	orphan											σκύλος		-				
21	dog	165	L <Prakrit?	SV	orphan													-				[kuttā ]L
54	drink vt	170	pō(i) <peh₃(i)-(lo)	L462,P839	#ERROR!	pi-tь				ibid	ól(aim)	bere	bib-	pī	πί̄νω	πίνω	(əmpem)			(paitī {fadj})	pā	pīnā
54	drink	171	egʷʰ <h₁egʷʰ	L231 P23									(ēbrius)					egu	#ERROR!			
54	drink	172	gwerh3- ‘verschlingen’	L211, P474-5	orphan (cf Alb ‘eat’),		gérti															
54	drink	173	dhreĝ- ‘ziehen/t draw’ (a drink)	P273	Branch orphans			drekka	drikke													
54	drink	174	L < ?	VP-,ewy-,fwy-	orphan												[xmel]					
54	drink	175	swel-?2 ‘swallow’	L609, P1045	Ave only															xvar(aiti)		
99	dry (adj)	180	s)(a)us- <h₂sus- ‘burn’ >’dry’	P880 <P68-9	#NAME?	сухой	saũsas						(sūdus) (āridus)	thatë	(αὖχμηρός)			ḫāt-ant	āsar	huška	śúṣka	sūkhā
99	dry	181	tr̥s-u,to ‘scorched, thirsty’	P1078	-meaning			þurr	tørr	tīr(im)	tirim		(oLa torrus)	(ter)	τέρσομαι			(tarš-ant)		(taršu-)		-
99	dry	182	ƙsē̆-ro	P625	E only										ξηρός	ξηρός	čor					-
99	dry	183	seikʷ- ‘ausgießen’	P893								secco	siccus									-
39	ear (anat)	190	ōu-/ə-/u-s- <h₂(e)ów-s-	P785	Lu+W+E	ухо	ausìs	eyra	[øre]	(āu)		orecchio	auris	vesh	οὐς	αυτί	akanǰ			(uši) [?]		
39	ear	191	ƙlew-s-t,verbAbstr	P605	Branch orphans					clúas	cluas								klautsoB			
39	ear	192	stomen <stéh₃-mn ‘Mund’	Kloekh411 (P1035)	if not orphan													istāman				
39	ear	193	ghous- ‘t hear’	P454	orphan															gao-šō		
39	ear	194	(s)ker-3 ‘drehen, biegen’	P935-8 ff ?	Branch orphans																kárṇa	kān
79	earth (soil! opp.to sand, stone; thus not globe, territory)	200	dhéĝhom- (P: ĝhðe/om-)	P414, MBr	#NAME?	(земля)	(žẽmė)				ithir		humus	dhe	χθών			tēkan	keṃ	zā̊(m)	kṣā́m	
79	earth	201	bʰudʰ-	P174	orphan	почва !																
79	earth	202	dr(H)-u-	P209,Derksen	orphan		dirva															
79	earth	203	mel-dh	P716-7	Branch orphan			mold														
79	earth	204	er-t/w- < h₁er-t-	P332-4	HS -D ?			(jǫrð)	[jord]						(ἔρᾱ)							
79	earth	205	tel(H/u) ‘flat’	P1061	orphan					talam	(talam?)											
79	earth	206	swol-3 ‘Sohle, Unterstes’	P1046	orphan							suolo	(solum)									
79	earth	207	wedn- ‘scrambled’?	(P1115-1)	orphan										(οὖδας)	έδαφος	(getin?)	(utnē)				
79	earth	208	pelH-,plā- ‘flat’	P805	orphan												hoġ					
79	earth	209	dher-> dharitrī-	P252-2	orphan																	dhartī
79	earth	209a	not applicable	irrelevant	(semanics)							(terra)	(terra)									
55	eat v, [cf tooth]	210	ed- < h1éd-  [Rasm o-h1d-é-]	L230,P287	#NAME?	ес-ть	(ė́du)	eta		(ed- suppl)			edō		ἔδω		ute-l	ēd-		ađāiti	ád-	
55	eat	211	welg-?	L676 ? P1145	orphan		válg-yti															
55	eat	212	mLat>mnd>dan	K/S; B/V	orphan				[spise]L													
55	eat	213	pei(H)-(tu)?	P793,Lucht	orphan					ith(id-)	ith											
55	eat	214	L<OFre mangier <Latmanus ducere	Cor922	orphan							[mangiare]										
55	eat	215	gu̯erh3- ‘verschlingen/to swallow’	L211	orphan									hë-ngra								
55	eat	216	treh3g/ĝ- ‘zernagen’	L647;P1073	orphan											τρώ(γ)ω						
55	eat	217	dā-p- < deh₂p ‘zerteilen’?	L104, P175-6	orphan														tāpp			
55	eat	218	“khād not PIE”	P634	orphan																	khānā
55	eat	219	not applicable	irrelevant	(meaning)																[yuváte]?	
